aoi,cache,whittle,V,policy
85,1,-0.00037252530455589294,-949.9999999999997,0
86,0,207.9067449979484,-639.1732820597599,1
86,1,-0.00037252530455589294,-959.9999999999997,0
87,0,82.39775453880429,-641.88328205976,1
87,1,-0.00037252530455589294,-969.9999999999997,0
88,0,196.46947309747338,-645.32228205976,1
88,1,-0.00037252530455589294,-979.9999999999997,0
89,0,137.33555130288005,-649.41738205976,1
89,1,-0.00037252530455589294,-989.9999999999997,0
90,0,198.36339174583554,-654.1029720597602,1
90,1,-0.00037252530455589294,-999.9999999999997,0
91,0,61.16604733094573,-659.3200030597602,1
91,1,-0.00037252530455589294,-1009.9999999999997,0
92,0,6.582149606198072,-665.0153309597601,1
92,1,-0.00037252530455589294,-1019.9999999999997,0
93,0,293.0198364816606,-671.1411260697602,1
93,1,-0.00037252530455589294,-1029.9999999999995,0
94,0,9.8521767295897,-928.9514542333104,1
94,1,-0.00037252530455589294,-1011.6142165733768,0
95,0,21.36246358975768,-938.7872222006279,1
95,1,-0.00037252530455589294,-1049.9999999999995,0
96,0,9.994481395930052,-959.790457999127,1
96,1,-0.00037252530455589294,-1059.9999999999995,0
97,0,97.65713606402278,-969.7834960130356,1
97,1,-0.00037252530455589294,-1069.9999999999995,0
98,0,10.329754170030355,-979.7772302255534,1
98,1,-0.00037252530455589294,-1079.9999999999995,0
99,0,9.995226446539164,-989.7715910168195,1
99,1,-0.00037252530455589294,-1089.9999999999995,0
100,0,10.068241406232119,-999.766515728959,1
100,1,-0.00037252530455589294,-1099.9999999999995,0
101,0,98.06393369659781,-1009.7619479698844,1
101,1,-0.00037252530455589294,-1109.9999999999995,0
102,0,-321.6826784648001,-1019.7578369867174,1
102,1,-0.00037252530455589294,-1119.9999999999995,0
103,0,427.2451740168035,-661.2212083100001,0
103,1,-0.00037252530455589294,-661.2212083100001,0
104,0,390.62146627530456,-661.2212083100001,1
104,1,-0.00037252530455589294,-1139.9999999999993,0
105,0,251.77979516610503,-662.2212083100001,1
105,1,-0.00037252530455589294,-1149.9999999999993,0
106,0,402.82837545499206,-664.12120831,1
106,1,-0.00037252530455589294,-1092.1741467596544,0
107,0,391.57587610557675,-666.8312083100001,1
107,1,-0.00037252530455589294,-1169.9999999999993,0
108,0,24.414190884679556,-1074.4910090283377,1
108,1,-0.00037252530455589294,-1179.9999999999993,0
109,0,15.044434424489737,-1082.203329782842,1
109,1,-0.00037252530455589294,-1189.9999999999993,0
110,0,24.462619174271822,-1097.7841467596545,1
110,1,-0.00037252530455589294,-1199.9999999999993,0
111,0,4.685995806008577,-1101.2231467596544,1
111,1,-0.00037252530455589294,-1209.9999999999993,0
112,0,99.20535122975707,-1105.3182467596544,1
112,1,-0.00037252530455589294,-1219.9999999999993,0
113,0,26.32301054522395,-1110.0038367596544,1
113,1,-0.00037252530455589294,-1229.9999999999993,0
114,0,6.1261786334216595,-1115.2208677596545,1
114,1,-0.00037252530455589294,-1239.9999999999993,0
115,0,44.280220326036215,-1120.9161956596545,1
115,1,-0.00037252530455589294,-1249.9999999999993,0
116,0,36.621100064367056,-1127.0419907696544,1
116,1,-0.00037252530455589294,-1259.9999999999993,0
117,0,7.656512584537268,-1133.5552063686546,1
117,1,-0.00037252530455589294,-1269.9999999999993,0
118,0,97.79869567975402,-1140.4171004077543,1
118,1,-0.00037252530455589294,-1279.9999999999993,0
119,0,97.69140839204192,-1147.5928050429447,1
119,1,-0.00037252530455589294,-1289.9999999999993,0
120,0,7.945592220872641,-1155.0509392146155,1
120,1,-0.00037252530455589294,-1299.9999999999993,0
121,0,24.509557362645864,-1162.7632599691194,1
121,1,-0.00037252530455589294,-1309.9999999999993,0
122,0,110.05328809842467,-1170.7043486481725,1
122,1,-0.00037252530455589294,-1319.9999999999993,0
123,0,8.686172526329756,-1178.8513284593212,1
123,1,-0.00037252530455589294,-1329.9999999999993,0
124,0,85.47257840260863,-1187.1836102893542,1
124,1,-0.00037252530455589294,-1339.9999999999993,0
125,0,8.784519206732512,-1195.6826639363844,1
125,1,-0.00037252530455589294,-1349.9999999999993,0
126,0,56.79334530606866,-1204.331812218711,1
126,1,-0.00037252530455589294,-1359.9999999999993,0
127,0,11.076294880360365,-1266.3246811290899,1
127,1,-0.00037252530455589294,-1369.9999999999993,0
128,0,-19.84703065082431,-1276.2539846241887,1
128,1,-0.00037252530455589294,-1379.9999999999993,0
129,0,10.12710040435195,-1286.1903577697772,1
129,1,-0.00037252530455589294,-545.5993000000001,0
130,0,75.54403398558497,-1296.133093600807,1
130,1,-0.00037252530455589294,-1399.9999999999993,0
131,0,9.957973916083574,-1306.0815558487334,1
131,1,-0.00037252530455589294,-1409.9999999999993,0
132,0,25.940054532140493,-1316.035171871868,1
132,1,-0.00037252530455589294,-1419.9999999999993,0
133,0,48.89953410252929,-1325.9934262926884,1
133,1,-0.00037252530455589294,-1429.9999999999993,0
134,0,13.530491586774588,-1335.9558552714273,1
134,1,-0.00037252530455589294,-1439.9999999999993,0
135,0,10.001186851412058,-1349.875145871106,1
135,1,-0.00037252530455589294,-1449.9999999999993,0
136,0,10.109219189733267,-1359.8737124599081,1
136,1,-0.00037252530455589294,-1459.9999999999993,0
137,0,24.42015128955245,-1369.87242238983,1
137,1,-0.00037252530455589294,-1469.9999999999993,0
138,0,12.422601331025362,-1379.9999999999993,1
138,1,-0.00037252530455589294,-1479.9999999999993,0
139,0,12.243044134229422,-1389.9999999999993,1
139,1,-0.00037252530455589294,-1489.9999999999993,0
140,0,97.85084922239184,-1399.9999999999993,1
140,1,-0.00037252530455589294,-1499.9999999999993,0
141,0,9.999696750193834,-1409.9999999999993,1
141,1,-0.00037252530455589294,-1509.9999999999993,0
142,0,36.62184511497617,-1419.9999999999993,1
142,1,-0.00037252530455589294,-1519.9999999999993,0
143,0,26.715652216225863,-1429.9999999999993,1
143,1,-0.00037252530455589294,-1529.9999999999993,0
144,0,10.299952145665884,-1439.9999999999993,1
144,1,-0.00037252530455589294,-1539.9999999999993,0
